,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
0,བསྐྱེད,བ,ས,ཀ,ྱ,,ེ,ད,
1,བརྒྱུད,བ,ར,ག,ྱ,,ུ,ད,
2,བསྒྱུར,བ,ས,ག,ྱ,,ུ,ར,
3,བསྒྲུབ,བ,ས,ག,ྲ,,ུ,བ,
4,བསྒྲགས,བ,ས,ག,ྲ,,,ག,ས
5,བསྐྲུན,བ,ས,ཀ,ྲ,,ུ,ན,
6,དབྱིངས,ད,,བ,ྱ,,ི,ང,ས
7,བསྐྱོད,བ,ས,ཀ,ྱ,,ོ,ད,
8,མགྱོགས,མ,,ག,ྱ,,ོ,ག,ས
9,བསྡོམས,བ,ས,ད,,,ོ,མ,ས
10,འཁྱོངས,འ,,ཁ,ྱ,,ོ,ང,ས
11,དབྱིབས,ད,,བ,ྱ,,ི,བ,ས
12,འགྲེམས,འ,,ག,ྲ,,ེ,མ,ས
13,འཁྲུངས,འ,,ཁ,ྲ,,ུ,ང,ས
14,བསྒོམས,བ,ས,ག,,,ོ,མ,ས
15,རྒྱུགས,,ར,ག,ྱ,,ུ,ག,ས
16,བརྩེགས,བ,ར,ཙ,,,ེ,ག,ས
17,འཁྲུགས,འ,,ཁ,ྲ,,ུ,ག,ས
18,བསྐྱངས,བ,ས,ཀ,ྱ,,,ང,ས
19,བསྲེགས,བ,,ས,ྲ,,ེ,ག,ས
20,འགྲོགས,འ,,ག,ྲ,,ོ,ག,ས
21,མཁྲེགས,མ,,ཁ,ྲ,,ེ,ག,ས
22,སྒྲོགས,,ས,ག,ྲ,,ོ,ག,ས
23,དམྱིགས,ད,,མ,ྱ,,ི,ག,ས
24,བསྐྱུར,བ,ས,ཀ,ྱ,,ུ,ར,
25,བརྩིགས,བ,ར,ཙ,,,ི,ག,ས
26,བསླེབས,བ,,ས,ླ,,ེ,བ,ས
27,བསྲུངས,བ,,ས,ྲ,,ུ,ང,ས
28,སྤྲེའུ,,,,,,,,
29,བསྒྲིལ,བ,ས,ག,ྲ,,ི,ལ,
30,བརྡུངས,བ,ར,ད,,,ུ,ང,ས
31,བསྡེབས,བ,ས,ད,,,ེ,བ,ས
32,དཀྲུགས,ད,,ཀ,ྲ,,ུ,ག,ས
33,བསྲིངས,བ,,ས,ྲ,,ི,ང,ས
34,འཁྲིགས,འ,,ཁ,ྲ,,ི,ག,ས
35,སྐྱེམས,,ས,ཀ,ྱ,,ེ,མ,ས
36,སྐྱུགས,,ས,ཀ,ྱ,,ུ,ག,ས
37,བརྐྱངས,བ,ར,ཀ,ྱ,,,ང,ས
38,སྐྱོངས,,ས,ཀ,ྱ,,ོ,ང,ས
39,སྒྲུབས,,ས,ག,ྲ,,ུ,བ,ས
40,འགྲིམས,འ,,ག,ྲ,,ི,མ,ས
41,འཕྱོངས,འ,,ཕ,ྱ,,ོ,ང,ས
42,སྤྲིངས,,ས,པ,ྲ,,ི,ང,ས
43,བརྒྱུས,བ,ར,ག,ྱ,,ུ,ས,
44,བསྐྱོན,བ,ས,ཀ,ྱ,,ོ,ན,
45,བསྡོགས,བ,ས,ད,,,ོ,ག,ས
46,བསྙེགས,བ,ས,ཉ,,,ེ,ག,ས
47,སྐྱོབས,,ས,ཀ,ྱ,,ོ,བ,ས
48,བཀྲོངས,བ,,ཀ,ྲ,,ོ,ང,ས
49,སྦྱོངས,,ས,བ,ྱ,,ོ,ང,ས
50,བསྒྲེང,བ,ས,ག,ྲ,,ེ,ང,
51,བསྣུབས,བ,ས,ན,,,ུ,བ,ས
52,འགྲིགས,འ,,ག,ྲ,,ི,ག,ས
53,བསྐྱབས,བ,ས,ཀ,ྱ,,,བ,ས
54,བསྐྱིལ,བ,ས,ཀ,ྱ,,ི,ལ,
55,སྤྲུགས,,ས,པ,ྲ,,ུ,ག,ས
56,འཕྲོགས,འ,,ཕ,ྲ,,ོ,ག,ས
57,འབྱོངས,འ,,བ,ྱ,,ོ,ང,ས
58,བསྒྲིག,བ,ས,ག,ྲ,,ི,ག,
59,སྒྲིགས,,ས,ག,ྲ,,ི,ག,ས
60,སྐྱོགས,,ས,ཀ,ྱ,,ོ,ག,ས
61,བསྡོངས,བ,ས,ད,,,ོ,ང,ས
62,བསྲུབས,བ,,ས,ྲ,,ུ,བ,ས
63,སྒྱོགས,,ས,ག,ྱ,,ོ,ག,ས
