,音节,构件数量,频率
0,པ,1,70822392
1,འི,2,53700706
2,དང,2,30999168
3,བ,1,30198846
4,ལ,1,25270430
5,དེ,2,17095288
6,ཀྱི,3,15955880
7,མ,1,15694692
8,པར,2,14459646
9,དུ,2,13295758
10,ནས,2,12645142
11,ནི,2,11576200
12,ལས,2,11383144
13,པོ,2,11246556
14,མི,2,10654490
15,ན,1,10567578
16,གྱི,3,10563770
17,གི,2,9158778
18,ཡིན,3,8742356
19,བྱེད,4,8102540
20,བྱ,2,7781116
21,ཡོད,3,6895566
22,མེད,3,6764234
23,བར,2,6476638
24,ཡང,2,6307988
25,ཆེན,3,6233918
26,ཞེས,3,6204446
27,པས,2,6060414
28,སུ,2,6028200
29,བྱས,3,5749178
30,ཏེ,2,5671746
31,དོན,3,5516632
32,རང,2,5513604
33,གནས,3,5067478
34,སོགས,4,4862114
35,གཉིས,4,4806612
36,དག,2,4750876
37,ལོ,2,4692488
38,ཚོགས,4,4634866
39,ས,1,4550144
40,ཏུ,2,4524450
41,ཉིད,3,4507980
42,བཞིན,4,4494620
43,འོ,2,4493731
44,ཤེས,3,4471526
45,རྣམས,4,4428482
46,འདི,3,4350710
47,རྒྱལ,4,4269894
48,ཀྱིས,4,4236110
49,ཆོས,3,4232952
50,རྣམ,3,4180556
51,ཞིང,3,4093330
52,བུ,2,3922558
53,ཞིག,3,3806652
54,གསུམ,4,3732208
55,གྱིས,4,3718676
56,མོ,2,3701790
57,སེམས,4,3687710
58,འགྱུར,5,3666742
59,གིས,3,3587308
60,ཕྱིར,4,3568412
61,ཅན,2,3559978
62,གང,2,3502112
63,བོད,3,3499394
64,སོ,2,3478122
65,ལྟར,3,3456488
66,སྟེ,3,3361230
67,ལྡན,3,3285028
68,ཀྱང,3,3261750
69,རིགས,4,3216766
70,གཅིག,4,3204520
71,དུས,3,3141704
72,ལྟ,2,3095052
73,རྒྱུ,4,3066134
74,ལམ,2,3021674
75,རིག,3,2936950
76,བོ,2,2854746
77,བྱུང,4,2854430
78,སློབ,4,2841086
79,དབང,3,2840056
80,ཁ,1,2802184
81,རྒྱས,4,2782744
82,དགོས,4,2748992
83,ནང,2,2722296
84,འཛིན,4,2567360
85,ཆེ,2,2549126
86,སྤྱི,4,2520932
87,མང,2,2483256
88,རྗེ,3,2474194
89,གཞན,3,2437702
90,འཁོར,4,2429446
91,ཡུལ,3,2406990
92,བསྟན,4,2378374
93,གཞི,3,2376656
94,གྲོང,4,2374064
95,བཅས,3,2352728
96,བདག,3,2338528
97,ཁང,2,2323256
98,རྒྱ,3,2320234
99,བས,2,2299954
100,བཤད,3,2292570
101,གསར,3,2282140
102,ཆ,1,2276384
103,ལྷ,2,2256078
104,རེད,3,2252390
105,ཚུལ,3,2221292
106,ཚད,2,2208172
107,ཕྱོགས,5,2180534
108,ཀུན,3,2167960
109,ཡི,2,2167684
110,སྲིད,4,2147802
111,གོ,2,2136700
112,དངོས,4,2125146
113,ལག,2,2102916
114,བཞི,3,2091612
115,ཅད,2,2079626
116,བདེ,3,2079510
117,ཐམས,3,2072858
118,གྱུར,4,2070292
119,སྔོན,4,2049722
120,རབ,2,2043676
121,ཡོངས,4,2041168
122,རིམ,3,2033984
123,གྲུབ,4,2011532
124,ཆུ,2,1951584
125,དགེ,3,1948264
126,མཚན,3,1935210
127,ཚེ,2,1915760
128,འགྲོ,4,1912132
129,རྗེས,4,1904220
130,དམ,2,1902764
131,རེ,2,1898020
132,སྐབས,4,1896304
133,སྤྱོད,5,1852806
134,ངོ,2,1838266
135,ཤིང,3,1818572
136,རྡོ,3,1817230
137,རྩ,2,1809290
138,མཚོ,3,1781602
139,ཙམ,2,1765982
140,གཏོང,4,1758544
141,བྱང,3,1750666
142,ཟླ,2,1744414
143,རོ,2,1733316
144,དོ,2,1721950
145,བཅུ,3,1711878
146,ལྔ,2,1701080
147,སྒོ,3,1683196
148,ད,1,1649844
149,འདོད,4,1637094
150,གསུངས,5,1634334
151,སྟོན,4,1629326
152,རིང,3,1628674
153,ཁུལ,3,1614256
154,སྣང,3,1612010
155,འབྲེལ,5,1611938
156,ང,1,1610102
157,གསལ,3,1591714
158,ཐོག,3,1584894
159,ལེགས,4,1584658
160,རུ,2,1580352
161,ལུགས,4,1576654
162,རྟེན,4,1574616
163,ཐོན,3,1535330
164,འབྱུང,5,1529420
165,ལེན,3,1528656
166,བསམ,3,1527946
167,ལུས,3,1525608
168,སྐྱེ,4,1522404
169,སྐད,3,1519022
170,རི,2,1507658
171,མེ,2,1502158
172,བརྗོད,5,1493752
173,ཅིང,3,1492670
174,སྐུ,3,1480218
175,ཅི,2,1473612
176,མངོན,4,1472044
177,ཀ,1,1469020
178,ནོ,2,1459406
179,མཉམ,3,1459380
180,འཇུག,4,1456882
181,ཅེས,3,1445352
182,སྟོང,4,1428510
183,ནུས,3,1425254
184,ཅིག,3,1425064
185,ལྗོངས,5,1417480
186,སྡེ,3,1413866
187,འདྲ,3,1400012
188,ཀྲུང,4,1394512
189,མཛད,3,1393572
190,ཡིག,3,1389482
191,སྣ,2,1380520
192,སྐྱོང,5,1374018
193,ཚང,2,1370542
194,དཔལ,3,1369432
195,སྒྲིག,5,1365832
196,ཕྱི,3,1363360
197,གཞུང,4,1352398
198,རྒྱུད,5,1351144
199,འབྱོར,5,1349550
200,ཉིན,3,1345304
201,གསོ,3,1339406
202,སྤེལ,4,1328426
203,བློ,3,1322806
204,སྐོར,4,1314874
205,ཇི,2,1300960
206,སངས,3,1290808
207,བཟང,3,1286504
208,སྒྲུབ,5,1283688
209,ཐོབ,3,1279498
210,མཐུན,4,1274862
211,ག,1,1274198
212,རྒྱུན,5,1268704
213,མཐོང,4,1261974
214,འབྲས,4,1259106
215,བཏང,3,1257944
216,ཐུབ,3,1257862
217,ཡོན,3,1251922
218,ཟེར,3,1245010
219,འཕེལ,4,1244180
220,སྐྱེས,5,1241520
221,ཆུང,3,1240356
222,ཁྱབ,3,1239028
223,མཐའ,3,1237952
224,ཚིག,3,1230328
225,དགའ,3,1228984
226,བླ,2,1224876
227,ངེས,3,1222572
228,ཁྱད,3,1219716
229,དམངས,4,1219162
230,ར,1,1217022
231,ཐབས,3,1210084
232,འཛུགས,5,1209362
233,ཞིབ,3,1206764
234,སྨན,3,1205978
235,ཨ,1,1200422
236,ཁོ,2,1194826
237,མར,2,1186852
238,རྩོམ,4,1184582
239,མཆོག,4,1183574
240,བཅོས,4,1171836
241,དྲུག,4,1167644
242,སྙིང,4,1165640
243,གཙོ,3,1151922
244,འདས,3,1151812
245,ལྷག,3,1143192
246,རྫོང,4,1142834
247,གྲངས,4,1137810
248,ཁག,2,1136232
249,རྩལ,3,1126586
250,འང,2,1121513
251,མིན,3,1119670
252,ཚོ,2,1115808
253,ཕན,2,1115376
254,ཤུགས,4,1111716
255,རྟོགས,5,1106924
256,དཀར,3,1099162
257,ཁྱེར,4,1094802
258,ཁམས,3,1089570
259,འཕྲིན,5,1085198
260,ནད,2,1084642
261,ཡེ,2,1082978
262,རིན,3,1074048
263,དེས,3,1072004
264,ཕྱག,3,1069294
265,དཔེ,3,1066576
266,གོང,3,1051686
267,འགན,3,1042354
268,ཆུབ,3,1039582
269,ཚན,2,1039338
270,ཡིད,3,1036562
271,སྦྱོར,5,1032722
272,ཐང,2,1029720
273,དམིགས,5,1029562
274,ཆགས,3,1025356
275,རོལ,3,1022992
276,ཁྲི,3,1020254
277,ཟད,2,1019108
278,གཟུགས,5,1013240
279,ཞུགས,4,1013154
280,ཕྱིན,4,996024
281,ཐ,1,989376
282,བརྒྱད,5,987590
283,དཔའ,3,979504
284,ཏང,2,979282
285,ཞུ,2,972350
286,སྐྲུན,5,964376
287,གླིང,4,963140
288,པོར,3,962714
289,ཉི,2,961174
290,ནམ,2,959420
291,སྲུང,4,959366
292,སོང,3,955166
293,བཀོད,4,931510
294,ཞི,2,929914
295,སྒྲ,3,928366
296,འོད,3,920678
297,མིང,3,915452
298,གནང,3,914182
299,ཕ,1,913580
300,མཁན,3,901442
301,ཉེ,2,897632
302,ཉམས,3,891462
303,རྟོག,4,890994
304,འདུ,3,888984
305,མིག,3,885418
306,དབུལ,4,883984
307,རྫོགས,5,882244
308,སྐུལ,4,871356
309,དེར,3,870924
310,གཏན,3,869340
311,ངག,2,868288
312,གལ,2,864370
313,མཁའ,3,864038
314,རྐྱེན,5,854898
315,ཡོང,3,854816
316,མཆོད,4,853634
317,འཇིག,4,849266
318,འདུག,4,847004
319,ཐག,2,846804
320,དངུལ,4,839508
321,བསྡུས,5,837704
322,ཟིན,3,836650
323,ཁྲིད,4,834192
324,སྔ,2,832428
325,ཐུགས,4,830314
326,འདིར,4,828000
327,ཁྱོད,4,827548
328,མདོ,3,826788
329,བཟུང,4,817668
330,གེ,2,816572
331,ཚེས,3,816110
332,རུང,3,814422
333,ཡིས,3,812948
334,སྔར,3,812622
335,གསུང,4,808270
336,ཡ,1,806728
337,ནོར,3,804734
338,ཆད,2,803808
339,ཆེད,3,801042
340,ཁྲིམས,5,798468
341,གྲོས,4,793184
342,བརྟེན,5,793160
343,སྟེང,4,792464
344,དྲ,2,791600
345,ལུང,3,778772
346,རླུང,4,776332
347,མཐོ,3,773276
348,སུམ,3,772088
349,བརྒྱ,4,764596
350,དཔོན,4,755656
351,བདུན,4,753548
352,བཀའ,3,751382
353,སྐྱོར,5,748120
354,ཞབས,3,747254
355,ཁབ,2,747068
356,སྡུག,4,746740
357,རྟགས,4,746452
358,དར,2,745316
359,ཞེ,2,744152
360,མཁས,3,742568
361,འཚོ,3,739680
362,གནད,3,734218
363,བཟོ,3,734024
364,རབས,3,729078
365,ཁྱིམ,4,726246
366,བརྟན,4,725818
367,དུང,3,722920
368,བཞག,3,722426
369,སྦྱོང,5,718578
370,གྲགས,4,714812
371,རྫས,3,713866
372,ཨུ,2,709960
373,བསྐྱེད,6,708030
374,སྔགས,4,706398
375,བཅོམ,4,704734
376,ཁོང,3,701906
377,གསོལ,4,699646
378,བརྒྱུད,6,698660
379,མཚོན,4,695524
380,སྙན,3,694762
381,རྩེ,3,689716
382,སྒོར,4,688480
383,ལྷན,3,685342
384,ཚོད,3,680016
385,ངན,2,679862
386,ནག,2,676990
387,འམ,2,676922
388,ཤིན,3,668094
389,ཁྲོད,4,667888
390,པོས,3,667542
391,གཤེགས,5,665962
392,ཏན,2,663406
393,བྱིན,4,662636
394,སྟོབས,5,660418
395,རྒྱུས,5,658872
396,ཤ,1,658088
397,བཞུགས,5,656694
398,ཤར,2,651440
399,ཡན,2,650828
400,དཀྱིལ,5,648362
401,དཔྱད,4,646706
402,ངང,2,644496
403,མགོ,3,642318
404,སྲོལ,4,641476
405,ལན,2,641294
406,གྲྭ,3,634858
407,ཐད,2,634560
408,གར,2,633896
409,དད,2,633822
410,གནོད,4,632334
411,ངོས,3,631220
412,ཐལ,2,627404
413,ཤིག,3,624754
414,བྲལ,3,624566
415,སྦྱར,4,622464
416,འོག,3,620952
417,ཁུངས,4,618632
418,བདེན,4,618262
419,རྟག,3,616554
420,དཀའ,3,612900
421,འདུས,4,610662
422,ཟབ,2,610058
423,གློག,4,604180
424,དགུ,3,601518
425,འགོག,4,599606
426,སི,2,599466
427,བརྙན,4,598282
428,མཚམས,4,594704
429,བསྒྱུར,6,594514
430,འགོད,4,592542
431,མཐར,3,590310
432,གསང,3,589558
433,དགོངས,5,589114
434,ལོག,3,586976
435,ཚོང,3,583946
436,ཞལ,2,579380
437,སྦྱིན,5,574894
438,འགྲེལ,5,570994
439,རྟ,2,570704
440,དབྱེ,4,568398
441,ཐེངས,4,567240
442,ཐར,2,566700
443,རོགས,4,565858
444,སློང,4,562660
445,དམར,3,559244
446,ཚ,1,558178
447,དྲི,3,557554
448,འགོ,3,556344
449,མས,2,556076
450,མཛེས,4,551494
451,གཅོད,4,544024
452,ཏ,1,543410
453,རྒྱན,4,539154
454,རྒན,3,538278
455,ཏོག,3,536966
456,མཛོད,4,534684
457,ཧ,1,531210
458,གཙང,3,526748
459,སྐྱེད,5,526182
460,ཚོར,3,522976
461,འཆར,3,522118
462,དམག,3,521672
463,ཁེ,2,521660
464,འཕགས,4,520998
465,མཁྱེན,5,516684
466,ཆོག,3,516350
467,འཇོག,4,514012
468,ཚིགས,4,513746
469,ཐོས,3,513060
470,ལྷོ,3,512884
471,འདོན,4,512330
472,ལེ,2,510774
473,གཉེར,4,510200
474,ཚོས,3,510104
475,ལོར,3,508226
476,སྐྱོན,5,501546
477,བོར,3,500954
478,སྡོད,4,500454
479,མྱོང,4,496586
480,སྲོག,4,496130
481,དྲན,3,495180
482,ཕོ,2,490850
483,སར,2,487242
484,གཞོན,4,484516
485,སྤྲོད,5,484382
486,འབུམ,4,483618
487,འདུན,4,483536
488,སྙམ,3,481822
489,ཐུན,3,480960
490,ཆེས,3,476258
491,འབྲོག,5,474466
492,རྐང,3,471448
493,བླངས,4,470966
494,ཤོག,3,468430
495,དབྱངས,5,468188
496,རྣལ,3,467838
497,གསེར,4,466560
498,བྲག,3,465582
499,དྲག,3,462634
500,མོས,3,462526
501,ཐེག,3,460620
502,སྒྱུ,4,459966
503,ཇུས,3,459556
504,སྐྱིད,5,456924
505,མུ,2,455150
506,འདེད,4,454990
507,ཁོངས,4,453122
508,ཆེར,3,452926
509,བཅད,3,452724
510,ནན,2,451238
511,ཇེ,2,448506
512,བདུད,4,448424
513,འགལ,3,447466
514,མཚུངས,5,447044
515,ལགས,3,446076
516,གཏམ,3,443578
517,འགྲུབ,5,442870
518,ཆས,2,438154
519,རྒྱུར,5,437882
520,ཏོ,2,435878
521,བྱེ,3,434410
522,འདེབས,5,434328
523,སོར,3,431552
524,སྒྲོལ,5,430960
525,ཉེས,3,429690
526,བརྡ,3,428544
527,ཕུལ,3,428316
528,ནུབ,3,425954
529,སྒྱུར,5,425262
530,སེལ,3,424966
531,བསྔལ,4,423856
532,བོན,3,423734
533,སྨྲ,3,423328
534,རིས,3,423026
535,ལི,2,422844
536,དབུ,3,422362
537,རྩིས,4,420722
538,བསྒྲུབ,6,420710
539,འདྲེན,5,419204
540,བསྟར,4,414356
541,ཉོན,3,414010
542,དབུས,4,411950
543,ཟ,1,409538
544,འགའ,3,406038
545,སེར,3,405160
546,གོས,3,403794
547,དཔེར,4,403638
548,ཆར,2,403438
549,དགོན,4,401356
550,དགྲ,3,401300
551,བཙན,3,400406
552,བརྩམས,5,400320
553,གྲོལ,4,400042
554,བརྩོན,5,400004
555,སྤྲུལ,5,399290
556,ཞུས,3,397158
557,ཁྱེད,4,395462
558,བསྡུ,4,395224
559,གུ,2,394522
560,ལྡོག,4,392868
561,ཉན,2,390880
562,ཕྱུག,4,390484
563,འབབ,3,390298
564,གཉེན,4,389114
565,ཤིས,3,388998
566,བཀྲ,3,388592
567,ཅང,2,386682
568,ཟག,2,386372
569,མྱུར,4,386354
570,བུར,3,385674
571,མདུན,4,384126
572,བྲིས,4,383494
573,འཐུས,4,383388
574,ཡུན,3,382498
575,ཟས,2,380904
576,སྲས,3,380314
577,སྡོམ,4,377466
578,དབྱང,4,374540
579,ལྕགས,4,371886
580,བསྟེན,5,371218
581,གཟིགས,5,370388
582,གླུ,3,370078
583,འགྲན,4,368034
584,ཐོ,2,367124
585,བསྒྲགས,6,365026
586,ཕུང,3,364430
587,སྨིན,4,364200
588,དེབ,3,363830
589,འཇིགས,5,363524
590,བཙུན,4,363480
591,རྒྱབ,4,362744
592,ཉེར,3,360706
593,རྩི,3,357134
594,བསོད,4,356322
595,མོང,3,355000
596,གཏོགས,5,354976
597,ཅུ,2,354976
598,འོང,3,354818
599,བཙུགས,5,354704
600,འཕར,3,352806
601,བསྒོམ,5,352240
602,སྒོམ,4,352104
603,བཏགས,4,352086
604,དཔག,3,352084
605,སྐྱོབ,5,351976
606,སྙོམས,5,351232
607,འཕྲུལ,5,350462
608,མཇུག,4,350362
609,ཅུང,3,348754
610,འཇགས,4,348162
611,ཚུན,3,347712
612,ཀླུ,3,347446
613,འཇམ,3,347028
614,ཡར,2,346846
615,ཕྲེང,4,345414
616,འགུལ,4,344606
617,ཚུགས,4,343028
618,གླེང,4,342656
619,མོངས,4,342186
620,གནམ,3,341464
621,གདན,3,338704
622,ཤས,2,337022
623,ལོངས,4,336928
624,ཉུང,3,335950
625,ཕེབས,4,335252
626,ཁྱོན,4,335096
627,གཏོར,4,333892
628,ཐིག,3,333628
629,དེང,3,332618
630,བཅའ,3,331908
631,བུད,3,331570
632,ཆབ,2,330550
633,སྤྱན,4,330232
634,སྨོན,4,329372
635,གཏོད,4,327770
636,སྤང,3,327160
637,ཏིང,3,326686
638,མགོན,4,326392
639,གཡས,3,324768
640,བུམ,3,324730
641,ཅིན,3,323420
642,ལྟེ,3,323410
643,སྣོན,4,323030
644,འབྲིང,5,322530
645,ཡུག,3,322092
646,མངའ,3,320540
647,གྲུ,3,319690
648,ངས,2,319134
649,འཆད,3,319108
650,འོས,3,317392
651,ཕྲག,3,316398
652,སྤྱད,4,314060
653,ཕྲ,2,313568
654,ཟུང,3,312858
655,ཏི,2,311418
656,ངལ,2,310934
657,མོད,3,310916
658,འབྲི,4,310862
659,འཚལ,3,309500
660,ཨང,2,309498
661,འགག,3,308394
662,བརྟག,4,308140
663,ཡག,2,307792
664,འཐབ,3,307474
665,བྱིས,4,306812
666,སྣོད,4,306478
667,རྙེད,4,306314
668,ཁས,2,305434
669,བསྟོད,5,304390
670,མན,2,303956
671,སྨྲས,4,303578
672,སླར,3,302292
673,དྲིལ,4,301288
674,ནམས,3,300232
675,འཆི,3,298430
676,བཏབ,3,298010
677,ཁྲག,3,298006
678,གཡོན,4,296930
679,བསྐྲུན,6,296754
680,ཆོ,2,296696
681,ཐུག,3,296438
682,ཁོར,3,294978
683,གཞག,3,293632
684,ཕུན,3,293306
685,མཐུད,4,291216
686,སྟོད,4,290716
687,བག,2,289710
688,དབྱིངས,6,289458
689,ཁུ,2,289052
690,རྙིང,4,288352
691,འཛམ,3,287246
692,དུད,3,287142
693,འབྱེད,5,287000
694,རླབས,4,286790
695,མཁོ,3,286696
696,ཉེན,3,285408
697,འབར,3,285266
698,སྤངས,4,285052
699,ཤུལ,3,284566
700,སྐར,3,284204
701,འོན,3,282460
702,གྲོགས,5,282288
703,གངས,3,281918
704,རྩོད,4,280610
705,ཤང,2,280294
706,ཕྱེ,3,279460
707,བསྡུར,5,278432
708,འབུལ,4,278182
709,འཁྲུལ,5,278124
710,སྨད,3,276552
711,རེས,3,275154
712,གུང,3,274270
713,སྟངས,4,273478
714,བསྐྱོད,6,273222
715,ལོང,3,272882
716,གཏེར,4,272374
717,ཁུར,3,272270
718,སྐྱ,3,272108
719,སླེབས,5,270834
720,སྣེ,3,269724
721,ནུ,2,269722
722,ཤུ,2,268812
723,རྡུལ,4,268664
724,ཡུམ,3,268486
725,ཕྱེད,4,267126
726,བཟའ,3,266932
727,སྐྱབས,5,266670
728,བརྩེ,4,266624
729,བསྐོར,5,266340
730,སྤྲོ,4,266096
731,ཤོས,3,265750
732,སྒྲོག,5,265708
733,ཐོགས,4,265556
734,མཁར,3,265278
735,ཕྱུར,4,265114
736,ཤི,2,264636
737,འདུལ,4,264388
738,ཡས,2,263922
739,དགག,3,263640
740,ཧྲུའུ,5,263320
741,བཏོན,4,262424
742,ཁྲོ,3,262244
743,ཚགས,3,262154
744,དྲངས,4,261726
745,སྟག,3,261508
746,ངེ,2,260030
747,བྱོན,4,259848
748,སྐྱོད,5,258438
749,བསླབ,4,258008
750,ལོན,3,257738
751,ཨེ,2,257418
752,མདའ,3,256900
753,ཧྭ,2,256710
754,བབ,2,256270
755,འབད,3,255732
756,དྲུང,4,255730
757,མདོག,4,255484
758,རྩྭ,3,255172
759,བྱམས,4,254748
760,སྟེགས,5,254488
761,སེང,3,254298
762,བསྐུར,5,254176
763,དཔུང,4,254140
764,ཚལ,2,253812
765,གསེབ,4,253252
766,ཆོད,3,252978
767,རྒྱག,4,251718
768,དུག,3,250628
769,འབྲུ,4,249886
770,བཤེར,4,249724
771,སྤྱིར,5,249084
772,རྨང,3,248782
773,རྨ,2,247826
774,སྐལ,3,246800
775,སྟབས,4,246516
776,དྲང,3,246300
777,སམ,2,245504
778,འཕྲོད,5,244938
779,གཤིས,4,244542
780,བཅུད,4,243610
781,བླང,3,243570
782,པེ,2,242954
783,ཟུར,3,242554
784,ཐུང,3,241882
785,འདིས,4,241776
786,བཅོ,3,240714
787,ཡབ,2,240200
788,འོངས,4,240148
789,རུས,3,239906
790,བསལ,3,239436
791,ཐེབས,4,239382
792,ཕལ,2,239054
793,མདོར,4,237764
794,རོང,3,237508
795,གཟུང,4,237092
796,ལེའུ,4,235856
797,གཙུག,4,235496
798,འདེགས,5,234686
799,སྙད,3,234280
800,ཞེན,3,233780
801,རེག,3,233432
802,འཁྲབ,4,232914
803,བསྙེན,5,232778
804,རེར,3,232168
805,འདྲི,4,231486
806,སྐྱེལ,5,231094
807,འགྲུལ,5,230786
808,སྒྲིབ,5,230288
809,ཀར,2,230038
810,ལྟུང,4,229264
811,གཏིང,4,229144
812,བཟོད,4,228836
813,མོར,3,226446
814,སྒྲུང,5,226202
815,རླངས,4,225494
816,དཀོན,4,225412
817,མྱ,2,225016
818,གཡོ,3,224192
819,ཆང,2,224164
820,གཞིས,4,223970
821,བཅུག,4,222452
822,སྡིག,4,221770
823,རྡལ,3,221184
824,གཞིར,4,218918
825,བཟོས,4,218444
826,གཞིགས,5,218402
827,གདོང,4,218358
828,གནའ,3,217476
829,ལྟོས,4,217428
830,རས,2,215938
831,དོག,3,215904
832,བལྟས,4,215830
833,མཆིས,4,214168
834,བརྒྱབ,5,213870
835,འདྲེས,5,212812
836,སྤུས,4,212494
837,ཡོ,2,212012
838,འ,1,211082
839,ཀྲུའུ,5,210662
840,མགྱོགས,6,210542
841,སྒྲིལ,5,210240
842,ཕབ,2,209992
843,ཞག,2,209292
844,གླང,3,208730
845,ཀྲང,3,207008
846,བབས,3,206214
847,གདམས,4,205880
848,སྨོས,4,204764
849,ཚབ,2,204470
850,ཀློག,4,203798
851,གློ,3,203750
852,བྲང,3,203184
853,གདུང,4,202598
854,ཝ,1,202142
855,ཕྱིས,4,201090
856,ནགས,3,200776
857,ཀན,2,200544
858,བཀག,3,200366
859,བལྟ,3,199868
860,སྤོང,4,198964
861,བོས,3,198338
862,ཐེ,2,196894
863,རིམས,4,195642
864,གུས,3,195592
865,མཚར,3,195316
866,ཉ,1,194644
867,འཚོལ,4,194572
868,འབེབས,5,194330
869,པུ,2,194206
870,ཅག,2,194124
871,སྡུད,4,194050
872,སྔོ,3,193806
873,མཆེད,4,192958
874,རམ,2,192718
875,ཆག,2,192690
876,འཐད,3,192498
877,དྲིན,4,192414
878,ཞང,2,192182
879,བསྐྱར,5,191116
880,ཁར,2,191114
881,པུའུ,4,191022
882,བཞེས,4,190918
883,སྒྲོན,5,190720
884,ཕྱུགས,5,190696
885,འཛོམས,5,190440
886,གཏད,3,189348
887,རྒྱང,4,188802
888,བསྟུན,5,188798
889,བཟླས,4,187780
890,ཕིང,3,187576
891,བསྡོམས,6,187422
892,བཤེས,4,186608
893,ཉིང,3,185766
894,ཁྲོན,4,185502
895,ཤོར,3,185432
896,ཕོག,3,185228
897,མཇལ,3,183996
898,སྤྲིན,5,183596
899,ལིང,3,183592
900,འཆང,3,183204
901,ཚངས,3,182772
902,དཔྱོད,5,181846
903,པད,2,181728
904,སྦྱངས,5,181598
905,ལྷུན,4,180702
906,མཛུབ,4,179984
907,ཇོ,2,179854
908,ལུག,3,178462
909,རྔ,2,178222
910,འཁྱོངས,6,177866
911,བཞེངས,5,177760
912,མཆན,3,177668
913,ཧེ,2,177476
914,སེ,2,176300
915,སྤྲོས,5,176034
916,གྲས,3,175376
917,ཟི,2,175020
918,ཀུང,3,174496
919,བློན,4,173782
920,ལང,2,173324
921,བཅོལ,4,173282
922,སྤོས,4,172994
923,དྲོད,4,172832
924,ངུ,2,172750
925,འཚེ,3,172238
926,སྲིན,4,171788
927,འཁུར,4,171486
928,ཧུར,3,171246
929,ཙ,1,170928
930,འདབ,3,170658
931,དོར,3,170458
932,རྣ,2,170154
933,ཨོ,2,170066
934,སྤོ,3,169900
935,ཚར,2,169664
936,ཛ,1,169486
937,ཉོ,2,169182
938,ཁྲོམ,4,169170
939,རྩོལ,4,169112
940,འཁྲི,4,168984
941,ཕྲན,3,168888
942,འབོར,4,168392
943,ཟློས,4,168220
944,རྒོལ,4,167722
945,བཞེད,4,167666
946,བརྒལ,4,167280
947,སྦྲེལ,5,167106
948,རྒྱུག,5,166884
949,རལ,2,166846
950,མེས,3,166596
951,གཞས,3,165960
952,བཟློག,5,165878
953,གཅེས,4,165764
954,མྱི,3,165122
955,ངེད,3,164756
956,གོམས,4,164680
957,ལངས,3,164026
958,རྐྱང,4,163972
959,གྲི,3,163710
960,བེད,3,163550
961,རྒོད,4,163168
962,ཇ,1,162734
963,སྲོང,4,162600
964,སྒང,3,162516
965,རྨི,3,162460
966,བསྒྲུབས,7,161182
967,ཀུ,2,160782
968,བཀོལ,4,160340
969,ཆུས,3,159850
970,སྒོས,4,159644
971,སྩལ,3,159556
